"","age","gender","lg","id","vowel","step","target","response","RT"
"4",19,"Male","Mandarin","68Mandarin","[y]",6,0,1,912.5
"5",19,"Male","Mandarin","68Mandarin","[ʉ]",6,0,1,436
"7",19,"Male","Mandarin","68Mandarin","[ʉ]",0,0,0,381.1
"11",19,"Male","Mandarin","68Mandarin","[i]",6,0,0,332.3
"22",19,"Male","Mandarin","68Mandarin","[i]",5,0,1,305.3
"24",19,"Male","Mandarin","68Mandarin","[ʉ]",7,0,1,466.3
"34",19,"Male","Mandarin","68Mandarin","[ʉ]",3,0,1,158.3
"40",19,"Male","Mandarin","68Mandarin","[i]",2,0,0,579.4
"52",19,"Male","Mandarin","68Mandarin","[i]",3,0,1,486.1
"53",19,"Male","Mandarin","68Mandarin","[i]",8,0,1,457.7
"60",19,"Male","Mandarin","68Mandarin","[u]",0,0,0,185.1
"69",19,"Male","Mandarin","68Mandarin","[i]",1,0,1,124.3
"72",19,"Male","Mandarin","68Mandarin","[y]",1,0,0,120.5
"81",19,"Male","Mandarin","68Mandarin","[ʉ]",0,0,0,281.2
"90",19,"Male","Mandarin","68Mandarin","[ʉ]",1,0,0,301.7
"101",19,"Male","Mandarin","68Mandarin","[i]",4,0,1,168.3
"107",19,"Male","Mandarin","68Mandarin","[y]",5,0,1,395
"109",19,"Male","Mandarin","68Mandarin","[i]",0,0,0,170.5
"110",19,"Male","Mandarin","68Mandarin","[y]",3,0,1,142.2
"116",19,"Male","Mandarin","68Mandarin","[u]",0,0,0,432.7
"122",19,"Male","Mandarin","68Mandarin","[ʉ]",8,0,1,277.1
"124",19,"Male","Mandarin","68Mandarin","[y]",2,0,1,170.9
"126",19,"Male","Mandarin","68Mandarin","[i]",0,0,0,55.2
"127",19,"Male","Mandarin","68Mandarin","[ʉ]",5,0,1,203
"133",19,"Male","Mandarin","68Mandarin","[y]",4,0,0,392.5
"136",19,"Male","Mandarin","68Mandarin","[y]",0,0,0,85.5
"139",19,"Male","Mandarin","68Mandarin","[y]",0,0,0,101.9
"142",19,"Male","Mandarin","68Mandarin","[ʉ]",4,0,1,339.2
"143",19,"Male","Mandarin","68Mandarin","[i]",7,0,1,284.3
"144",19,"Male","Mandarin","68Mandarin","[ʉ]",2,0,0,169.4
"148",25,"Female","Mandarin","6Mandarin","[i]",8,0,1,603.8
"155",25,"Female","Mandarin","6Mandarin","[i]",6,0,1,451
"162",25,"Female","Mandarin","6Mandarin","[ʉ]",8,0,1,461
"165",25,"Female","Mandarin","6Mandarin","[y]",6,0,1,430.4
"178",25,"Female","Mandarin","6Mandarin","[ʉ]",1,0,0,379.9
"184",25,"Female","Mandarin","6Mandarin","[y]",5,0,1,812.3
"188",25,"Female","Mandarin","6Mandarin","[i]",0,0,0,337.3
"191",25,"Female","Mandarin","6Mandarin","[i]",7,0,1,357
"199",25,"Female","Mandarin","6Mandarin","[ʉ]",4,0,1,433.6
"212",25,"Female","Mandarin","6Mandarin","[i]",4,0,1,423.5
"215",25,"Female","Mandarin","6Mandarin","[i]",5,0,1,486.7
"220",25,"Female","Mandarin","6Mandarin","[u]",0,0,0,422.5
"225",25,"Female","Mandarin","6Mandarin","[y]",1,0,0,346.4
"228",25,"Female","Mandarin","6Mandarin","[ʉ]",6,0,1,419.2
"229",25,"Female","Mandarin","6Mandarin","[y]",2,0,0,223.8
"230",25,"Female","Mandarin","6Mandarin","[y]",0,0,0,349
"232",25,"Female","Mandarin","6Mandarin","[y]",4,0,1,344.5
"233",25,"Female","Mandarin","6Mandarin","[y]",3,0,1,247.5
"234",25,"Female","Mandarin","6Mandarin","[ʉ]",0,0,0,389.4
"236",25,"Female","Mandarin","6Mandarin","[y]",0,0,0,404.9
"238",25,"Female","Mandarin","6Mandarin","[i]",3,0,1,436
"240",25,"Female","Mandarin","6Mandarin","[i]",0,0,0,340.6
"243",25,"Female","Mandarin","6Mandarin","[i]",2,0,0,362.2
