"age","id","Language","vowel","step","accuracy","RT","target","response"
19,"68Mandarin","Mandarin","[y]",6,1,972.5,"different","different"
19,"68Mandarin","Mandarin","[ʉ]",6,1,496,"different","different"
19,"68Mandarin","Mandarin","[ʉ]",0,1,441.1,"same","same"
19,"68Mandarin","Mandarin","[i]",6,0,472.3,"different","same"
19,"68Mandarin","Mandarin","[i]",5,1,365.3,"different","different"
19,"68Mandarin","Mandarin","[ʉ]",7,1,526.3,"different","different"
19,"68Mandarin","Mandarin","[ʉ]",3,1,218.3,"different","different"
19,"68Mandarin","Mandarin","[i]",2,0,719.4,"different","same"
19,"68Mandarin","Mandarin","[i]",3,1,546.1,"different","different"
19,"68Mandarin","Mandarin","[i]",8,1,517.7,"different","different"
19,"68Mandarin","Mandarin","[u]",0,1,245.1,"same","same"
19,"68Mandarin","Mandarin","[i]",1,1,184.3,"different","different"
19,"68Mandarin","Mandarin","[y]",1,0,260.5,"different","same"
19,"68Mandarin","Mandarin","[ʉ]",0,1,341.2,"same","same"
19,"68Mandarin","Mandarin","[ʉ]",1,0,441.7,"different","same"
19,"68Mandarin","Mandarin","[i]",4,1,228.3,"different","different"
19,"68Mandarin","Mandarin","[y]",5,1,455,"different","different"
19,"68Mandarin","Mandarin","[i]",0,1,230.5,"same","same"
19,"68Mandarin","Mandarin","[y]",3,1,202.2,"different","different"
19,"68Mandarin","Mandarin","[u]",0,1,492.7,"same","same"
19,"68Mandarin","Mandarin","[ʉ]",8,1,337.1,"different","different"
19,"68Mandarin","Mandarin","[y]",2,0,310.9,"different","different"
19,"68Mandarin","Mandarin","[i]",0,1,115.2,"same","same"
19,"68Mandarin","Mandarin","[ʉ]",5,1,263,"different","different"
19,"68Mandarin","Mandarin","[y]",4,0,532.5,"different","same"
19,"68Mandarin","Mandarin","[y]",0,1,145.5,"same","same"
19,"68Mandarin","Mandarin","[y]",0,1,161.9,"same","same"
19,"68Mandarin","Mandarin","[ʉ]",4,1,399.2,"different","different"
19,"68Mandarin","Mandarin","[i]",7,1,344.3,"different","different"
19,"68Mandarin","Mandarin","[ʉ]",2,0,309.4,"different","same"
25,"6Mandarin","Mandarin","[i]",8,1,663.8,"different","different"
25,"6Mandarin","Mandarin","[i]",6,1,511,"different","different"
25,"6Mandarin","Mandarin","[ʉ]",8,1,521,"different","different"
25,"6Mandarin","Mandarin","[y]",6,1,490.4,"different","different"
25,"6Mandarin","Mandarin","[ʉ]",1,0,519.9,"different","same"
25,"6Mandarin","Mandarin","[y]",5,1,872.3,"different","different"
25,"6Mandarin","Mandarin","[i]",0,1,397.3,"same","same"
25,"6Mandarin","Mandarin","[i]",7,1,417,"different","different"
25,"6Mandarin","Mandarin","[ʉ]",4,1,493.6,"different","different"
25,"6Mandarin","Mandarin","[i]",4,1,483.5,"different","different"
25,"6Mandarin","Mandarin","[i]",5,1,546.7,"different","different"
25,"6Mandarin","Mandarin","[u]",0,1,482.5,"same","same"
25,"6Mandarin","Mandarin","[y]",1,0,486.4,"different","same"
25,"6Mandarin","Mandarin","[ʉ]",6,1,479.2,"different","different"
25,"6Mandarin","Mandarin","[y]",2,0,363.8,"different","same"
25,"6Mandarin","Mandarin","[y]",0,1,409,"same","same"
25,"6Mandarin","Mandarin","[y]",4,1,404.5,"different","different"
25,"6Mandarin","Mandarin","[y]",3,1,307.5,"different","different"
25,"6Mandarin","Mandarin","[ʉ]",0,1,449.4,"same","same"
25,"6Mandarin","Mandarin","[y]",0,1,464.9,"same","same"
25,"6Mandarin","Mandarin","[i]",3,1,496,"different","different"
25,"6Mandarin","Mandarin","[i]",0,1,400.6,"same","same"
25,"6Mandarin","Mandarin","[i]",2,0,502.2,"different","same"
25,"6Mandarin","Mandarin","[u]",0,1,376.5,"same","same"
